"Tanggal","Penumpang.Berangkat"
2023-01-01,4521
2023-01-02,5283
2023-01-03,5352
2023-01-04,5989
2023-01-05,5884
2023-01-06,6299
2023-01-07,6002
2023-01-08,6354
2023-01-09,5380
2023-01-10,5660
2023-01-11,5878
2023-01-12,5630
2023-01-13,6313
2023-01-14,6148
2023-01-15,6292
2023-01-16,5512
2023-01-17,5188
2023-01-18,5894
2023-01-19,6453
2023-01-20,7702
2023-01-21,6865
2023-01-22,5755
2023-01-23,5831
2023-01-24,5437
2023-01-25,6355
2023-01-26,6175
2023-01-27,6493
2023-01-28,6374
2023-01-29,5764
2023-01-30,5300
2023-01-31,5790
2023-02-01,6126
2023-02-02,6204
2023-02-03,6403
2023-02-04,6010
2023-02-05,6303
2023-02-06,5823
2023-02-07,4358
2023-02-08,6570
2023-02-09,6790
2023-02-10,7166
2023-02-11,7166
2023-02-12,6792
2023-02-13,6057
2023-02-14,5962
2023-02-15,7170
2023-02-16,7140
2023-02-17,7705
2023-02-18,7315
2023-02-19,6951
2023-02-20,6230
2023-02-21,6725
2023-02-22,7459
2023-02-23,7299
2023-02-24,7718
2023-02-25,8149
2023-02-26,7459
2023-02-27,7220
2023-02-28,7080
2023-03-01,7000
2023-03-02,6561
2023-03-03,7210
2023-03-04,6619
2023-03-05,6679
2023-03-06,6231
2023-03-07,6465
2023-03-08,7095
2023-03-09,6874
2023-03-10,7455
2023-03-11,7263
2023-03-12,7144
2023-03-13,7138
2023-03-14,7062
2023-03-15,7859
2023-03-16,7575
2023-03-17,7967
2023-03-18,7228
2023-03-19,6406
2023-03-20,6359
2023-03-21,6758
2023-03-22,6404
2023-03-23,4694
2023-03-24,4133
2023-03-25,4439
2023-03-26,5278
2023-03-27,5034
2023-03-28,4731
2023-03-29,5134
2023-03-30,5500
2023-03-31,5180
2023-04-01,4917
2023-04-02,4189
2023-04-03,4151
2023-04-04,4738
2023-04-05,5515
2023-04-06,6257
2023-04-07,5134
2023-04-08,4956
2023-04-09,5453
2023-04-10,5851
2023-04-11,5516
2023-04-12,6565
2023-04-13,7383
2023-04-14,9547
2023-04-15,10906
2023-04-16,10741
2023-04-17,11050
2023-04-18,12021
2023-04-19,12388
2023-04-20,11618
2023-04-21,10021
2023-04-22,5159
2023-04-23,5808
2023-04-24,7209
2023-04-25,7411
