"Tanggal","Penumpang.Berangkat"
2024-04-12,7118
2024-04-13,6533
2024-04-14,9460
2024-04-15,10564
2024-04-16,8951
2024-04-17,8303
2024-04-18,7667
2024-04-19,7867
2024-04-20,8986
2024-04-21,9329
2024-04-22,7476
2024-04-23,6516
2024-04-24,7510
2024-04-25,6504
2024-04-26,6921
2024-04-27,6925
2024-04-28,7211
2024-04-29,6042
2024-04-30,6824
2024-05-01,7481
2024-05-02,6243
2024-05-03,6806
2024-05-04,6079
2024-05-05,7114
2024-05-06,6918
2024-05-07,6371
2024-05-08,8333
2024-05-09,7649
2024-05-10,5935
2024-05-11,5512
2024-05-12,7406
2024-05-13,6639
2024-05-14,6110
2024-05-15,7591
2024-05-16,7293
2024-05-17,7809
2024-05-18,6812
2024-05-19,6472
2024-05-20,7340
2024-05-21,5838
2024-05-22,8335
2024-05-23,7643
2024-05-24,5961
2024-05-25,5485
2024-05-26,7210
2024-05-27,6593
2024-05-28,5252
2024-05-29,5872
2024-05-30,6861
2024-05-31,7348
2024-06-01,6567
2024-06-02,6583
2024-06-03,6145
2024-06-04,6290
2024-06-05,8590
2024-06-06,9284
2024-06-07,9039
2024-06-08,7837
2024-06-09,8313
2024-06-10,8078
2024-06-11,7071
2024-06-12,8493
2024-06-13,8095
2024-06-14,10207
2024-06-15,9389
2024-06-16,9041
2024-06-17,5820
2024-06-18,6921
2024-06-19,8334
2024-06-20,7915
2024-06-21,8474
2024-06-22,7772
2024-06-23,8721
2024-06-24,8708
2024-06-25,7760
2024-06-26,9377
2024-06-27,8656
2024-06-28,9222
2024-06-29,7992
2024-06-30,9073
2024-07-01,7859
2024-07-02,8369
2024-07-03,9057
2024-07-04,8377
2024-07-05,9329
2024-07-06,8191
2024-07-07,8058
2024-07-08,8044
2024-07-09,7680
2024-07-10,8878
2024-07-11,8465
2024-07-12,8666
2024-07-13,7785
2024-07-14,8015
2024-07-15,7298
2024-07-16,6803
2024-07-17,3683
2024-07-18,6738
2024-07-19,8762
2024-07-20,7132
2024-07-21,7513
2024-07-22,7016
2024-07-23,6588
2024-07-24,7721
2024-07-25,6961
2024-07-26,7462
2024-07-27,6835
2024-07-28,7326
2024-07-29,6861
2024-07-30,6093
2024-07-31,7790
