"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2024-04-12","BPN","Sepinggan",7118,6808,310,5438,5107,331,52,3,50,2
"2024-04-13","BPN","Sepinggan",6533,6533,0,6785,6785,0,52,1,53,1
"2024-04-14","BPN","Sepinggan",9460,9309,151,10768,10690,78,72,2,75,1
"2024-04-15","BPN","Sepinggan",10564,10390,174,12414,12231,183,84,3,84,3
"2024-04-16","BPN","Sepinggan",8951,8951,0,11584,11584,0,77,0,77,1
"2024-04-17","BPN","Sepinggan",8303,8044,259,10568,10216,352,72,3,67,3
"2024-04-18","BPN","Sepinggan",7667,7667,0,10015,10015,0,71,1,73,2
"2024-04-19","BPN","Sepinggan",7867,7667,200,10015,9673,342,73,3,70,2
"2024-04-20","BPN","Sepinggan",8986,8986,0,11172,11172,0,74,0,74,2
"2024-04-21","BPN","Sepinggan",9329,9179,150,12175,11995,180,82,3,84,1
"2024-04-22","BPN","Sepinggan",7476,7303,173,10301,10136,165,79,1,75,3
"2024-04-23","BPN","Sepinggan",6516,6500,16,9906,9903,3,73,2,72,4
"2024-04-24","BPN","Sepinggan",7510,7193,317,11029,10682,347,81,4,76,4
"2024-04-25","BPN","Sepinggan",6504,6504,0,9662,9662,0,75,1,78,1
"2024-04-26","BPN","Sepinggan",6921,6921,0,9696,9696,0,76,1,73,1
"2024-04-27","BPN","Sepinggan",6925,6818,107,9830,9653,177,74,2,74,1
"2024-04-28","BPN","Sepinggan",7211,7049,162,10425,10252,173,71,2,72,2
"2024-04-29","BPN","Sepinggan",6042,5903,139,10514,10370,144,77,1,75,3
"2024-04-30","BPN","Sepinggan",6824,6824,0,9615,9615,0,71,1,73,0
"2024-05-01","BPN","Sepinggan",7481,7313,168,10037,9867,170,75,1,73,2
"2024-05-02","BPN","Sepinggan",6243,6243,0,8902,8902,0,69,1,70,1
"2024-05-03","BPN","Sepinggan",6806,6541,265,9896,9725,171,76,4,72,3
"2024-05-04","BPN","Sepinggan",6079,6079,0,9135,9135,0,67,1,65,0
"2024-05-05","BPN","Sepinggan",7114,6964,150,10244,10095,149,72,2,72,2
"2024-05-06","BPN","Sepinggan",6918,6779,139,9707,9546,161,71,1,70,3
"2024-05-07","BPN","Sepinggan",6371,6371,0,8070,8070,0,69,3,67,3
"2024-05-08","BPN","Sepinggan",8333,8011,322,9882,9617,265,79,3,80,3
"2024-05-09","BPN","Sepinggan",7649,7649,0,8589,8582,7,71,2,72,1
"2024-05-10","BPN","Sepinggan",5935,5617,318,7768,7532,236,63,3,62,5
"2024-05-11","BPN","Sepinggan",5512,5512,0,7064,7064,0,58,1,58,0
"2024-05-12","BPN","Sepinggan",7406,7229,177,9158,8981,177,63,2,66,2
"2024-05-13","BPN","Sepinggan",6639,6489,150,8963,8804,159,66,1,68,2
