"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2024-02-21","BPN","Sepinggan",6441,6126,315,5599,5382,217,53,3,53,2
"2024-02-22","BPN","Sepinggan",6951,6933,18,2570,2548,22,58,3,60,3
"2024-02-23","BPN","Sepinggan",7408,7248,160,6586,6408,178,62,4,62,3
"2024-02-24","BPN","Sepinggan",6441,6441,0,3545,3545,0,60,2,56,1
"2024-02-25","BPN","Sepinggan",7254,7086,168,3995,3995,0,64,2,63,1
"2024-02-26","BPN","Sepinggan",6946,6784,162,3599,3599,0,60,2,58,4
"2024-02-27","BPN","Sepinggan",6159,6159,0,6148,6146,2,57,2,60,3
"2024-02-28","BPN","Sepinggan",7507,7191,316,7522,7288,234,59,3,59,3
"2024-02-29","BPN","Sepinggan",7637,7637,0,2770,2770,0,66,2,64,2
"2024-03-01","BPN","Sepinggan",4238,4235,3,4448,4289,159,66,2,67,4
"2024-03-06","BPN","Sepinggan",8068,7731,337,7839,7523,316,59,4,57,6
"2024-03-07","BPN","Sepinggan",7617,7617,0,7446,7446,0,57,2,61,1
"2024-03-08","BPN","Sepinggan",8268,8092,176,7940,7764,176,63,2,60,1
"2024-03-09","BPN","Sepinggan",7138,7138,0,6657,6657,0,57,1,57,1
"2024-03-10","BPN","Sepinggan",5921,5753,168,6775,6602,173,55,2,57,1
"2024-03-11","BPN","Sepinggan",4586,4422,164,5221,5045,176,45,1,45,3
"2024-03-12","BPN","Sepinggan",5092,5092,0,5853,5853,0,49,1,49,2
"2024-03-13","BPN","Sepinggan",4332,4332,0,4296,4296,0,52,2,47,1
"2024-03-14","BPN","Sepinggan",4361,4355,6,5123,5090,33,43,5,47,3
"2024-03-15","BPN","Sepinggan",4864,4709,155,4742,4559,183,91,4,84,5
"2024-03-16","BPN","Sepinggan",5298,5298,0,5761,5761,0,83,2,83,2
"2024-03-17","BPN","Sepinggan",4433,4433,0,4610,4610,0,88,2,85,2
"2024-03-18","BPN","Sepinggan",4141,3988,153,4443,4330,113,88,4,89,3
"2024-03-19","BPN","Sepinggan",4817,4817,0,4348,4348,0,83,3,87,2
"2024-03-20","BPN","Sepinggan",6470,6342,128,5689,5594,95,87,3,85,5
"2024-03-21","BPN","Sepinggan",4608,4608,0,3504,3504,0,85,3,83,2
"2024-03-24","BPN","Sepinggan",5031,5024,7,4834,4816,18,79,4,79,4
"2024-03-25","BPN","Sepinggan",5251,5121,130,5271,5128,143,63,4,61,4
"2024-03-26","BPN","Sepinggan",4920,4920,0,4344,4330,14,55,2,53,2
